Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	apigennin_r1	apigennin_r2	control_r1	control_r2	salt_r1	salt_r2
sense	NC_020059.1	Protein Homology	CDS	427	1248	.	+	0	ID=cds-WP_015338166.1;Parent=gene-RTCIAT899_RS00005;Dbxref=GenBank:WP_015338166.1;Name=WP_015338166.1;Ontology_term=GO:0006468,GO:0006470,GO:0004674,GO:0005524,GO:0016776;gbkey=CDS;go_function=protein serine/threonine kinase activity|0004674||IEA,ATP binding|0005524||IEA,phosphotransferase activity%2C phosphate group as acceptor|0016776||IEA;go_process=protein phosphorylation|0006468||IEA,protein dephosphorylation|0006470||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018901118.1;locus_tag=RTCIAT899_RS00005;product=pyruvate%2C water dikinase regulatory protein;protein_id=WP_015338166.1;transl_table=11	0.2962464509217849	2.4053831036127007	0.0681643448035393	2.595421656294098	0.0	1.0574961771301699
sense	NC_020059.1	Protein Homology	CDS	1282	1881	.	+	0	ID=cds-WP_041677135.1;Parent=gene-RTCIAT899_RS00010;Dbxref=GenBank:WP_041677135.1;Name=WP_041677135.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018068928.1;locus_tag=RTCIAT899_RS00010;product=Maf-like protein;protein_id=WP_041677135.1;transl_table=11	0.0	1.2946115489801215	0.09338515238084885	0.9808903914821833	0.0	0.0
sense	NC_020059.1	Protein Homology	CDS	1874	2731	.	+	0	ID=cds-WP_015338168.1;Parent=gene-RTCIAT899_RS00015;Dbxref=GenBank:WP_015338168.1;Name=WP_015338168.1;Ontology_term=GO:0019632,GO:0004764;gbkey=CDS;go_function=shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA;go_process=shikimate metabolic process|0019632||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018517027.1;locus_tag=RTCIAT899_RS00015;product=shikimate dehydrogenase;protein_id=WP_015338168.1;transl_table=11	0.0	1.64604138459011	0.03265215118211499	3.172460182241327	0.034387998842380016	0.0
sense	NC_020059.1	Protein Homology	CDS	2733	3332	.	+	0	ID=cds-WP_015338169.1;Parent=gene-RTCIAT899_RS00020;Dbxref=GenBank:WP_015338169.1;Name=WP_015338169.1;Note=Dephospho-CoA kinase (CoaE) performs the final step in coenzyme A biosynthesis.;Ontology_term=GO:0015937,GO:0004140,GO:0005524,GO:0005737;gbkey=CDS;gene=coaE;go_component=cytoplasm|0005737||IEA;go_function=dephospho-CoA kinase activity|0004140||IEA,ATP binding|0005524||IEA;go_process=coenzyme A biosynthetic process|0015937||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338169.1;locus_tag=RTCIAT899_RS00020;product=dephospho-CoA kinase;protein_id=WP_015338169.1;transl_table=11	0.0	1.8830713439710858	0.046692576190424426	3.449464543379011	0.2458741917230171	0.0
sense	NC_020059.1	Protein Homology	CDS	3350	4066	.	+	0	ID=cds-WP_015338170.1;Parent=gene-RTCIAT899_RS00025;Dbxref=GenBank:WP_015338170.1;Name=WP_015338170.1;Ontology_term=GO:0006260,GO:0003677,GO:0003887;gbkey=CDS;gene=dnaQ;go_function=DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA;go_process=DNA replication|0006260||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338170.1;locus_tag=RTCIAT899_RS00025;product=DNA polymerase III subunit epsilon;protein_id=WP_015338170.1;transl_table=11	0.25472236679676485	2.1667138895064797	0.0	1.8468647538367466	0.0	0.4041198780106925
sense	NC_020059.1	Protein Homology	CDS	4148	4630	.	-	0	ID=cds-WP_015338171.1;Parent=gene-RTCIAT899_RS00030;Dbxref=GenBank:WP_015338171.1;Name=WP_015338171.1;Ontology_term=GO:0015031,GO:0051262,GO:0051082;gbkey=CDS;gene=secB;go_function=unfolded protein binding|0051082||IEA;go_process=protein transport|0015031||IEA,protein tetramerization|0051262||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003589527.1;locus_tag=RTCIAT899_RS00030;product=protein-export chaperone SecB;protein_id=WP_015338171.1;transl_table=11	2.2687694036432347	2.7778226347399557	2.5521408104082917	3.960116487350429	0.7330410684909826	0.5999046636307795
sense	NC_020059.1	Protein Homology	CDS	4726	5244	.	-	0	ID=cds-WP_015338172.1;Parent=gene-RTCIAT899_RS00035;Dbxref=GenBank:WP_015338172.1;Name=WP_015338172.1;Ontology_term=GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338172.1;locus_tag=RTCIAT899_RS00035;product=FxsA family protein;protein_id=WP_015338172.1;transl_table=11	0.23459979061436145	2.176961091296053	0.0	3.1184376607815074	0.0	0.0
sense	NC_020059.1	Protein Homology	CDS	5391	6092	.	+	0	ID=cds-WP_015338173.1;Parent=gene-RTCIAT899_RS00040;Dbxref=GenBank:WP_015338173.1;Name=WP_015338173.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338173.1;locus_tag=RTCIAT899_RS00040;product=Tim44/TimA family putative adaptor protein;protein_id=WP_015338173.1;transl_table=11	0.0	0.8047313435773871	0.07981636955628107	2.8456139726595224	0.016811910545163563	0.0
sense	NC_020059.1	Protein Homology	CDS	6089	7207	.	+	0	ID=cds-WP_015338174.1;Parent=gene-RTCIAT899_RS00045;Dbxref=GenBank:WP_015338174.1;Name=WP_015338174.1;Ontology_term=GO:0000270,GO:0008933,GO:0030288;gbkey=CDS;gene=mltA;go_component=outer membrane-bounded periplasmic space|0030288||IEA;go_function=peptidoglycan lytic transglycosylase activity|0008933||IEA;go_process=peptidoglycan metabolic process|0000270||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007698653.1;locus_tag=RTCIAT899_RS00045;product=murein transglycosylase A;protein_id=WP_015338174.1;transl_table=11	0.05440450908349133	1.9071917097115554	0.05007246776453022	2.432502981557693	0.005859379010378721	0.2589400826931783
sense	NC_020059.1	Protein Homology	CDS	7207	7791	.	+	0	ID=cds-WP_015338175.1;Parent=gene-RTCIAT899_RS00050;Dbxref=GenBank:WP_015338175.1;Name=WP_015338175.1;Ontology_term=GO:0003677,GO:0004519;gbkey=CDS;go_function=DNA binding|0003677||IEA,endonuclease activity|0004519||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127454.1;locus_tag=RTCIAT899_RS00050;product=Smr/MutS family protein;protein_id=WP_015338175.1;transl_table=11	1.208695944173148	0.5068924530461514	1.984213262471042	2.222436970910681	2.7321866760454854	0.0
sense	NC_020059.1	Protein Homology	CDS	7788	8153	.	+	0	ID=cds-WP_015338176.1;Parent=gene-RTCIAT899_RS00055;Dbxref=GenBank:WP_015338176.1;Name=WP_015338176.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127457.1;locus_tag=RTCIAT899_RS00055;product=helix-turn-helix domain-containing protein;protein_id=WP_015338176.1;transl_table=11	0.0	1.5435011016156441	0.5358164480868377	3.4170361998354744	0.3224579563580552	0.0
sense	NC_020059.1	Protein Homology	CDS	8414	10849	.	+	0	ID=cds-WP_015338177.1;Parent=gene-RTCIAT899_RS00060;Dbxref=GenBank:WP_015338177.1;Name=WP_015338177.1;Ontology_term=GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694;gbkey=CDS;gene=gyrB;go_component=chromosome|0005694||IEA;go_function=DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA;go_process=DNA topological change|0006265||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011423418.1;locus_tag=RTCIAT899_RS00060;product=DNA topoisomerase (ATP-hydrolyzing) subunit B;protein_id=WP_015338177.1;transl_table=11	0.04998246770478391	2.0581598741063285	0.09660533004915399	1.9529221669493382	0.02532515185682666	0.1189466143405856
sense	NC_020059.1	Protein Homology	CDS	10914	11513	.	-	0	ID=cds-WP_015338178.1;Parent=gene-RTCIAT899_RS00065;Dbxref=GenBank:WP_015338178.1;Name=WP_015338178.1;Ontology_term=GO:0000166,GO:0016491;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127466.1;locus_tag=RTCIAT899_RS00065;product=nitroreductase family protein;protein_id=WP_015338178.1;transl_table=11	0.0	3.0599909339530145	0.09338515238084885	1.7165581850938207	0.0	0.9658465084455551
sense	NC_020059.1	Protein Homology	CDS	11593	11883	.	-	0	ID=cds-WP_015338179.1;Parent=gene-RTCIAT899_RS00070;Dbxref=GenBank:WP_015338179.1;Name=WP_015338179.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338179.1;locus_tag=RTCIAT899_RS00070;product=DUF2218 domain-containing protein;protein_id=WP_015338179.1;transl_table=11	0.2789399572253232	2.426638329859647	0.0	4.5505224347111595	0.05069570963361177	0.0
sense	NC_020059.1	Protein Homology	CDS	12045	12998	.	+	0	ID=cds-WP_015338180.1;Parent=gene-RTCIAT899_RS00075;Dbxref=GenBank:WP_015338180.1;Name=WP_015338180.1;Ontology_term=GO:0004364,GO:0016491;gbkey=CDS;go_function=glutathione transferase activity|0004364||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004675171.1;locus_tag=RTCIAT899_RS00075;product=glutathione S-transferase family protein;protein_id=WP_015338180.1;transl_table=11	0.007976761748483595	4.145125599936352	0.17619840071858275	6.786034154908186	0.0618551425718282	0.9111759513637312
sense	NC_020059.1	Protein Homology	CDS	13075	14493	.	+	0	ID=cds-WP_015338181.1;Parent=gene-RTCIAT899_RS00080;Dbxref=GenBank:WP_015338181.1;Name=WP_015338181.1;Ontology_term=GO:0019752,GO:0016830,GO:0030170;gbkey=CDS;go_function=carbon-carbon lyase activity|0016830||IEA,pyridoxal phosphate binding|0030170||IEA;go_process=carboxylic acid metabolic process|0019752||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338181.1;locus_tag=RTCIAT899_RS00080;product=pyridoxal phosphate-dependent decarboxylase family protein;protein_id=WP_015338181.1;transl_table=11	0.002681406169151991	0.5971685023164119	0.09871580589941739	2.281140445307403	0.08317097394436096	0.20419587916396512
sense	NC_020059.1	Protein Homology	CDS	14626	15468	.	+	0	ID=cds-WP_015338182.1;Parent=gene-RTCIAT899_RS00085;Dbxref=GenBank:WP_015338182.1;Name=WP_015338182.1;Ontology_term=GO:0003824,GO:0016787;gbkey=CDS;go_function=catalytic activity|0003824||IEA,hydrolase activity|0016787||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127478.1;locus_tag=RTCIAT899_RS00085;product=fumarylacetoacetate hydrolase family protein;protein_id=WP_015338182.1;transl_table=11	0.1685055435551552	0.8376651885992374	0.19939890188081608	0.6981426273894543	0.06999976988555646	0.0
