# Reference library (divisor): control
# Comparison library (numerator): apigennin
Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	apigennin_r1 raw countings	apigennin_r2 raw countings	control_r1 raw countings	control_r2 raw countings	salt_r1 raw countings	salt_r2 raw countings	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
sense	NC_020059.1	Protein Homology	CDS	427	1248	.	+	0	ID=cds-WP_015338166.1;Parent=gene-RTCIAT899_RS00005;Dbxref=GenBank:WP_015338166.1;Name=WP_015338166.1;Ontology_term=GO:0006468,GO:0006470,GO:0004674,GO:0005524,GO:0016776;gbkey=CDS;go_function=protein serine/threonine kinase activity|0004674||IEA,ATP binding|0005524||IEA,phosphotransferase activity%2C phosphate group as acceptor|0016776||IEA;go_process=protein phosphorylation|0006468||IEA,protein dephosphorylation|0006470||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018901118.1;locus_tag=RTCIAT899_RS00005;product=pyruvate%2C water dikinase regulatory protein;protein_id=WP_015338166.1;transl_table=11	4.0	14.0	1.0	14.5	0	3.0	4.97697608417758	0.371626513737805	1.05619345696183	0.351854588085406	0.724947317518718	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	1282	1881	.	+	0	ID=cds-WP_041677135.1;Parent=gene-RTCIAT899_RS00010;Dbxref=GenBank:WP_041677135.1;Name=WP_041677135.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018068928.1;locus_tag=RTCIAT899_RS00010;product=Maf-like protein;protein_id=WP_041677135.1;transl_table=11	0	5.5	1.0	4.0	0	0	0.927749418414054	0.0673341703966232	1.0194409574741	0.0660500933408241	0.947337943775961	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	1874	2731	.	+	0	ID=cds-WP_015338168.1;Parent=gene-RTCIAT899_RS00015;Dbxref=GenBank:WP_015338168.1;Name=WP_015338168.1;Ontology_term=GO:0019632,GO:0004764;gbkey=CDS;go_function=shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA;go_process=shikimate metabolic process|0019632||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018517027.1;locus_tag=RTCIAT899_RS00015;product=shikimate dehydrogenase;protein_id=WP_015338168.1;transl_table=11	0	10.0	0.5	18.5	0.5	0	2.0765656634083	-0.22733790067297	1.08274213740933	-0.209964951781521	0.833695027700946	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	2733	3332	.	+	0	ID=cds-WP_015338169.1;Parent=gene-RTCIAT899_RS00020;Dbxref=GenBank:WP_015338169.1;Name=WP_015338169.1;Note=Dephospho-CoA kinase (CoaE) performs the final step in coenzyme A biosynthesis.;Ontology_term=GO:0015937,GO:0004140,GO:0005524,GO:0005737;gbkey=CDS;gene=coaE;go_component=cytoplasm|0005737||IEA;go_function=dephospho-CoA kinase activity|0004140||IEA,ATP binding|0005524||IEA;go_process=coenzyme A biosynthetic process|0015937||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338169.1;locus_tag=RTCIAT899_RS00020;product=dephospho-CoA kinase;protein_id=WP_015338169.1;transl_table=11	0	8.0	0.5	14.066666666666666	2.5	0	2.07681116256909	-0.225051789106986	1.13391016230893	-0.19847409132371	0.842674153656723	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	3350	4066	.	+	0	ID=cds-WP_015338170.1;Parent=gene-RTCIAT899_RS00025;Dbxref=GenBank:WP_015338170.1;Name=WP_015338170.1;Ontology_term=GO:0006260,GO:0003677,GO:0003887;gbkey=CDS;gene=dnaQ;go_function=DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA;go_process=DNA replication|0006260||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338170.1;locus_tag=RTCIAT899_RS00025;product=DNA polymerase III subunit epsilon;protein_id=WP_015338170.1;transl_table=11	3.0	11.0	0	9.0	0	1.0	2.64620389507503	0.549424777530277	1.16239372279783	0.472666676320168	0.63645100462596	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	4148	4630	.	-	0	ID=cds-WP_015338171.1;Parent=gene-RTCIAT899_RS00030;Dbxref=GenBank:WP_015338171.1;Name=WP_015338171.1;Ontology_term=GO:0015031,GO:0051262,GO:0051082;gbkey=CDS;gene=secB;go_function=unfolded protein binding|0051082||IEA;go_process=protein transport|0015031||IEA,protein tetramerization|0051262||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003589527.1;locus_tag=RTCIAT899_RS00030;product=protein-export chaperone SecB;protein_id=WP_015338171.1;transl_table=11	18.0	9.5	22.0	13.0	6.0	1.0	9.44285739208578	-0.370353021385299	0.807897096874826	-0.45841608147613	0.646653540261951	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	4726	5244	.	-	0	ID=cds-WP_015338172.1;Parent=gene-RTCIAT899_RS00035;Dbxref=GenBank:WP_015338172.1;Name=WP_015338172.1;Ontology_term=GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338172.1;locus_tag=RTCIAT899_RS00035;product=FxsA family protein;protein_id=WP_015338172.1;transl_table=11	2.0	8.0	0	11.0	0	0	1.68066709649815	0.103367152416741	1.12472215848052	0.0919046109631096	0.926773827950585	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	5391	6092	.	+	0	ID=cds-WP_015338173.1;Parent=gene-RTCIAT899_RS00040;Dbxref=GenBank:WP_015338173.1;Name=WP_015338173.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338173.1;locus_tag=RTCIAT899_RS00040;product=Tim44/TimA family putative adaptor protein;protein_id=WP_015338173.1;transl_table=11	0	4.0	1.0	13.576923076923077	0.2	0	1.45436918457528	-0.660091554728347	1.09727257299413	-0.601574823771596	0.54745719157788	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	6089	7207	.	+	0	ID=cds-WP_015338174.1;Parent=gene-RTCIAT899_RS00045;Dbxref=GenBank:WP_015338174.1;Name=WP_015338174.1;Ontology_term=GO:0000270,GO:0008933,GO:0030288;gbkey=CDS;gene=mltA;go_component=outer membrane-bounded periplasmic space|0030288||IEA;go_function=peptidoglycan lytic transglycosylase activity|0008933||IEA;go_process=peptidoglycan metabolic process|0000270||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007698653.1;locus_tag=RTCIAT899_RS00045;product=murein transglycosylase A;protein_id=WP_015338174.1;transl_table=11	1.0	15.11111111111111	1.0	18.5	0.1111111111111111	1.0	3.49937642929937	-0.0306270030944803	1.1282002861092	-0.027146778343855	0.978342664770011	0.999994493201698
sense	NC_020059.1	Protein Homology	CDS	7207	7791	.	+	0	ID=cds-WP_015338175.1;Parent=gene-RTCIAT899_RS00050;Dbxref=GenBank:WP_015338175.1;Name=WP_015338175.1;Ontology_term=GO:0003677,GO:0004519;gbkey=CDS;go_function=DNA binding|0003677||IEA,endonuclease activity|0004519||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127454.1;locus_tag=RTCIAT899_RS00050;product=Smr/MutS family protein;protein_id=WP_015338175.1;transl_table=11	11.614698711250464	2.099634273772205	20.716440264716102	8.836363636363636	27.085823754789118	0	11.5110528083653	-0.853450703338331	1.01537740188042	-0.840525603344911	0.400613752291357	0.999994493201698
