Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	apigennin_r1	apigennin_r2	control_r1	control_r2	salt_r1	salt_r2
sense	NC_020059.1	Protein Homology	CDS	427	1248	.	+	0	ID=cds-WP_015338166.1;Parent=gene-RTCIAT899_RS00005;Dbxref=GenBank:WP_015338166.1;Name=WP_015338166.1;Ontology_term=GO:0006468,GO:0006470,GO:0004674,GO:0005524,GO:0016776;gbkey=CDS;go_function=protein serine/threonine kinase activity|0004674||IEA,ATP binding|0005524||IEA,phosphotransferase activity%2C phosphate group as acceptor|0016776||IEA;go_process=protein phosphorylation|0006468||IEA,protein dephosphorylation|0006470||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018901118.1;locus_tag=RTCIAT899_RS00005;product=pyruvate%2C water dikinase regulatory protein;protein_id=WP_015338166.1;transl_table=11	2.450569869090566	17.72399119161811	0.5793248658113508	18.534447703460735	0.0	6.825533016024057
sense	NC_020059.1	Protein Homology	CDS	1282	1881	.	+	0	ID=cds-WP_041677135.1;Parent=gene-RTCIAT899_RS00010;Dbxref=GenBank:WP_041677135.1;Name=WP_041677135.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018068928.1;locus_tag=RTCIAT899_RS00010;product=Maf-like protein;protein_id=WP_041677135.1;transl_table=11	0.0	9.539305259203035	0.7936750661615506	7.004742994135505	0.0	0.0
sense	NC_020059.1	Protein Homology	CDS	1874	2731	.	+	0	ID=cds-WP_015338168.1;Parent=gene-RTCIAT899_RS00015;Dbxref=GenBank:WP_015338168.1;Name=WP_015338168.1;Ontology_term=GO:0019632,GO:0004764;gbkey=CDS;go_function=shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA;go_process=shikimate metabolic process|0019632||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018517027.1;locus_tag=RTCIAT899_RS00015;product=shikimate dehydrogenase;protein_id=WP_015338168.1;transl_table=11	0.0	12.12880516109731	0.27750876439215055	22.65520024327043	0.28434073129039467	0.0
sense	NC_020059.1	Protein Homology	CDS	2733	3332	.	+	0	ID=cds-WP_015338169.1;Parent=gene-RTCIAT899_RS00020;Dbxref=GenBank:WP_015338169.1;Name=WP_015338169.1;Note=Dephospho-CoA kinase (CoaE) performs the final step in coenzyme A biosynthesis.;Ontology_term=GO:0015937,GO:0004140,GO:0005524,GO:0005737;gbkey=CDS;gene=coaE;go_component=cytoplasm|0005737||IEA;go_function=dephospho-CoA kinase activity|0004140||IEA,ATP binding|0005524||IEA;go_process=coenzyme A biosynthetic process|0015937||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338169.1;locus_tag=RTCIAT899_RS00020;product=dephospho-CoA kinase;protein_id=WP_015338169.1;transl_table=11	0.0	13.875353104295321	0.3968375330807753	24.633346196043192	2.0330362287263224	0.0
sense	NC_020059.1	Protein Homology	CDS	3350	4066	.	+	0	ID=cds-WP_015338170.1;Parent=gene-RTCIAT899_RS00025;Dbxref=GenBank:WP_015338170.1;Name=WP_015338170.1;Ontology_term=GO:0006260,GO:0003677,GO:0003887;gbkey=CDS;gene=dnaQ;go_function=DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA;go_process=DNA replication|0006260||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338170.1;locus_tag=RTCIAT899_RS00025;product=DNA polymerase III subunit epsilon;protein_id=WP_015338170.1;transl_table=11	2.1070799502013022	15.965364450549009	0.0	13.188846641677728	0.0	2.6083626867372267
sense	NC_020059.1	Protein Homology	CDS	4148	4630	.	-	0	ID=cds-WP_015338171.1;Parent=gene-RTCIAT899_RS00030;Dbxref=GenBank:WP_015338171.1;Name=WP_015338171.1;Ontology_term=GO:0015031,GO:0051262,GO:0051082;gbkey=CDS;gene=secB;go_function=unfolded protein binding|0051082||IEA;go_process=protein transport|0015031||IEA,protein tetramerization|0051262||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003589527.1;locus_tag=RTCIAT899_RS00030;product=protein-export chaperone SecB;protein_id=WP_015338171.1;transl_table=11	18.767407755209117	20.46830038677105	21.690498702551693	28.28001829930483	6.061226023531892	3.872041503914268
sense	NC_020059.1	Protein Homology	CDS	4726	5244	.	-	0	ID=cds-WP_015338172.1;Parent=gene-RTCIAT899_RS00035;Dbxref=GenBank:WP_015338172.1;Name=WP_015338172.1;Ontology_term=GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338172.1;locus_tag=RTCIAT899_RS00035;product=FxsA family protein;protein_id=WP_015338172.1;transl_table=11	1.9406246940196967	16.040870640803842	0.0	22.269414143205363	0.0	0.0
sense	NC_020059.1	Protein Homology	CDS	5391	6092	.	+	0	ID=cds-WP_015338173.1;Parent=gene-RTCIAT899_RS00040;Dbxref=GenBank:WP_015338173.1;Name=WP_015338173.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338173.1;locus_tag=RTCIAT899_RS00040;product=Tim44/TimA family putative adaptor protein;protein_id=WP_015338173.1;transl_table=11	0.0	5.9296380787586855	0.6783547574030346	20.321123248930252	0.1390110241864152	0.0
sense	NC_020059.1	Protein Homology	CDS	6089	7207	.	+	0	ID=cds-WP_015338174.1;Parent=gene-RTCIAT899_RS00045;Dbxref=GenBank:WP_015338174.1;Name=WP_015338174.1;Ontology_term=GO:0000270,GO:0008933,GO:0030288;gbkey=CDS;gene=mltA;go_component=outer membrane-bounded periplasmic space|0030288||IEA;go_function=peptidoglycan lytic transglycosylase activity|0008933||IEA;go_process=peptidoglycan metabolic process|0000270||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007698653.1;locus_tag=RTCIAT899_RS00045;product=murein transglycosylase A;protein_id=WP_015338174.1;transl_table=11	0.4500376301144873	14.053083275127822	0.42556303815632734	17.371011446582685	0.04844888242421977	1.6713101397592418
sense	NC_020059.1	Protein Homology	CDS	7207	7791	.	+	0	ID=cds-WP_015338175.1;Parent=gene-RTCIAT899_RS00050;Dbxref=GenBank:WP_015338175.1;Name=WP_015338175.1;Ontology_term=GO:0003677,GO:0004519;gbkey=CDS;go_function=DNA binding|0003677||IEA,endonuclease activity|0004519||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127454.1;locus_tag=RTCIAT899_RS00050;product=Smr/MutS family protein;protein_id=WP_015338175.1;transl_table=11	9.998411297304337	3.7350214023679507	16.863714972031143	15.870886224474848	22.591368606515818	0.0
