Orientation of counted reads relative to the strand location of the annotation	Sequence name	Source	Feature	Start	End	Score	Strand	Frame	Attributes	apigennin_r1	apigennin_r2	control_r1	control_r2	salt_r1	salt_r2
sense	NC_020059.1	Protein Homology	CDS	427	1248	.	+	0	ID=cds-WP_015338166.1;Parent=gene-RTCIAT899_RS00005;Dbxref=GenBank:WP_015338166.1;Name=WP_015338166.1;Ontology_term=GO:0006468,GO:0006470,GO:0004674,GO:0005524,GO:0016776;gbkey=CDS;go_function=protein serine/threonine kinase activity|0004674||IEA,ATP binding|0005524||IEA,phosphotransferase activity%2C phosphate group as acceptor|0016776||IEA;go_process=protein phosphorylation|0006468||IEA,protein dephosphorylation|0006470||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018901118.1;locus_tag=RTCIAT899_RS00005;product=pyruvate%2C water dikinase regulatory protein;protein_id=WP_015338166.1;transl_table=11	4.0	14.0	1.0	14.5	0	3.0
sense	NC_020059.1	Protein Homology	CDS	1282	1881	.	+	0	ID=cds-WP_041677135.1;Parent=gene-RTCIAT899_RS00010;Dbxref=GenBank:WP_041677135.1;Name=WP_041677135.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018068928.1;locus_tag=RTCIAT899_RS00010;product=Maf-like protein;protein_id=WP_041677135.1;transl_table=11	0	5.5	1.0	4.0	0	0
sense	NC_020059.1	Protein Homology	CDS	1874	2731	.	+	0	ID=cds-WP_015338168.1;Parent=gene-RTCIAT899_RS00015;Dbxref=GenBank:WP_015338168.1;Name=WP_015338168.1;Ontology_term=GO:0019632,GO:0004764;gbkey=CDS;go_function=shikimate 3-dehydrogenase (NADP+) activity|0004764||IEA;go_process=shikimate metabolic process|0019632||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_018517027.1;locus_tag=RTCIAT899_RS00015;product=shikimate dehydrogenase;protein_id=WP_015338168.1;transl_table=11	0	10.0	0.5	18.5	0.5	0
sense	NC_020059.1	Protein Homology	CDS	2733	3332	.	+	0	ID=cds-WP_015338169.1;Parent=gene-RTCIAT899_RS00020;Dbxref=GenBank:WP_015338169.1;Name=WP_015338169.1;Note=Dephospho-CoA kinase (CoaE) performs the final step in coenzyme A biosynthesis.;Ontology_term=GO:0015937,GO:0004140,GO:0005524,GO:0005737;gbkey=CDS;gene=coaE;go_component=cytoplasm|0005737||IEA;go_function=dephospho-CoA kinase activity|0004140||IEA,ATP binding|0005524||IEA;go_process=coenzyme A biosynthetic process|0015937||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338169.1;locus_tag=RTCIAT899_RS00020;product=dephospho-CoA kinase;protein_id=WP_015338169.1;transl_table=11	0	8.0	0.5	14.066666666666666	2.5	0
sense	NC_020059.1	Protein Homology	CDS	3350	4066	.	+	0	ID=cds-WP_015338170.1;Parent=gene-RTCIAT899_RS00025;Dbxref=GenBank:WP_015338170.1;Name=WP_015338170.1;Ontology_term=GO:0006260,GO:0003677,GO:0003887;gbkey=CDS;gene=dnaQ;go_function=DNA binding|0003677||IEA,DNA-directed DNA polymerase activity|0003887||IEA;go_process=DNA replication|0006260||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338170.1;locus_tag=RTCIAT899_RS00025;product=DNA polymerase III subunit epsilon;protein_id=WP_015338170.1;transl_table=11	3.0	11.0	0	9.0	0	1.0
sense	NC_020059.1	Protein Homology	CDS	4148	4630	.	-	0	ID=cds-WP_015338171.1;Parent=gene-RTCIAT899_RS00030;Dbxref=GenBank:WP_015338171.1;Name=WP_015338171.1;Ontology_term=GO:0015031,GO:0051262,GO:0051082;gbkey=CDS;gene=secB;go_function=unfolded protein binding|0051082||IEA;go_process=protein transport|0015031||IEA,protein tetramerization|0051262||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_003589527.1;locus_tag=RTCIAT899_RS00030;product=protein-export chaperone SecB;protein_id=WP_015338171.1;transl_table=11	18.0	9.5	22.0	13.0	6.0	1.0
sense	NC_020059.1	Protein Homology	CDS	4726	5244	.	-	0	ID=cds-WP_015338172.1;Parent=gene-RTCIAT899_RS00035;Dbxref=GenBank:WP_015338172.1;Name=WP_015338172.1;Ontology_term=GO:0005886;gbkey=CDS;go_component=plasma membrane|0005886||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338172.1;locus_tag=RTCIAT899_RS00035;product=FxsA family protein;protein_id=WP_015338172.1;transl_table=11	2.0	8.0	0	11.0	0	0
sense	NC_020059.1	Protein Homology	CDS	5391	6092	.	+	0	ID=cds-WP_015338173.1;Parent=gene-RTCIAT899_RS00040;Dbxref=GenBank:WP_015338173.1;Name=WP_015338173.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338173.1;locus_tag=RTCIAT899_RS00040;product=Tim44/TimA family putative adaptor protein;protein_id=WP_015338173.1;transl_table=11	0	4.0	1.0	13.576923076923077	0.2	0
sense	NC_020059.1	Protein Homology	CDS	6089	7207	.	+	0	ID=cds-WP_015338174.1;Parent=gene-RTCIAT899_RS00045;Dbxref=GenBank:WP_015338174.1;Name=WP_015338174.1;Ontology_term=GO:0000270,GO:0008933,GO:0030288;gbkey=CDS;gene=mltA;go_component=outer membrane-bounded periplasmic space|0030288||IEA;go_function=peptidoglycan lytic transglycosylase activity|0008933||IEA;go_process=peptidoglycan metabolic process|0000270||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_007698653.1;locus_tag=RTCIAT899_RS00045;product=murein transglycosylase A;protein_id=WP_015338174.1;transl_table=11	1.0	15.11111111111111	1.0	18.5	0.1111111111111111	1.0
sense	NC_020059.1	Protein Homology	CDS	7207	7791	.	+	0	ID=cds-WP_015338175.1;Parent=gene-RTCIAT899_RS00050;Dbxref=GenBank:WP_015338175.1;Name=WP_015338175.1;Ontology_term=GO:0003677,GO:0004519;gbkey=CDS;go_function=DNA binding|0003677||IEA,endonuclease activity|0004519||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127454.1;locus_tag=RTCIAT899_RS00050;product=Smr/MutS family protein;protein_id=WP_015338175.1;transl_table=11	11.614698711250464	2.099634273772205	20.716440264716102	8.836363636363636	27.085823754789118	0
sense	NC_020059.1	Protein Homology	CDS	7788	8153	.	+	0	ID=cds-WP_015338176.1;Parent=gene-RTCIAT899_RS00055;Dbxref=GenBank:WP_015338176.1;Name=WP_015338176.1;Ontology_term=GO:0003677;gbkey=CDS;go_function=DNA binding|0003677||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127457.1;locus_tag=RTCIAT899_RS00055;product=helix-turn-helix domain-containing protein;protein_id=WP_015338176.1;transl_table=11	0	4.0	3.5	8.5	2.0	0
sense	NC_020059.1	Protein Homology	CDS	8414	10849	.	+	0	ID=cds-WP_015338177.1;Parent=gene-RTCIAT899_RS00060;Dbxref=GenBank:WP_015338177.1;Name=WP_015338177.1;Ontology_term=GO:0006265,GO:0003677,GO:0003918,GO:0005524,GO:0005694;gbkey=CDS;gene=gyrB;go_component=chromosome|0005694||IEA;go_function=DNA binding|0003677||IEA,DNA topoisomerase type II (double strand cut%2C ATP-hydrolyzing) activity|0003918||IEA,ATP binding|0005524||IEA;go_process=DNA topological change|0006265||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_011423418.1;locus_tag=RTCIAT899_RS00060;product=DNA topoisomerase (ATP-hydrolyzing) subunit B;protein_id=WP_015338177.1;transl_table=11	2.0	35.5	4.2	32.33333333333333	1.0454545454545454	1.0
sense	NC_020059.1	Protein Homology	CDS	10914	11513	.	-	0	ID=cds-WP_015338178.1;Parent=gene-RTCIAT899_RS00065;Dbxref=GenBank:WP_015338178.1;Name=WP_015338178.1;Ontology_term=GO:0000166,GO:0016491;gbkey=CDS;go_function=nucleotide binding|0000166||IEA,oxidoreductase activity|0016491||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_004127466.1;locus_tag=RTCIAT899_RS00065;product=nitroreductase family protein;protein_id=WP_015338178.1;transl_table=11	0	13.0	1.0	7.0	0	2.0
sense	NC_020059.1	Protein Homology	CDS	11593	11883	.	-	0	ID=cds-WP_015338179.1;Parent=gene-RTCIAT899_RS00070;Dbxref=GenBank:WP_015338179.1;Name=WP_015338179.1;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015338179.1;locus_tag=RTCIAT899_RS00070;product=DUF2218 domain-containing protein;protein_id=WP_015338179.1;transl_table=11	1.3333333333333333	5.0	0	9.0	0.25	0
